event,value,size_bytes,stride_bytes,threads,pattern,gbs,huge
cache-references,1453065,16777216,1024,1,seq,45.9915,0
cache-misses,997320,16777216,1024,1,seq,45.9915,0
LLC-loads,164703,16777216,1024,1,seq,45.9915,0
LLC-load-misses,95834,16777216,1024,1,seq,45.9915,0
dTLB-load-misses,19801,16777216,1024,1,seq,45.9915,0
iTLB-load-misses,7858,16777216,1024,1,seq,45.9915,0
cycles,18067393,16777216,1024,1,seq,49.1362,1
instructions,12735507,16777216,1024,1,seq,49.1362,1
cache-references,1346401,16777216,1024,1,seq,49.1362,1
cache-misses,627067,16777216,1024,1,seq,49.1362,1
LLC-loads,134473,16777216,1024,1,seq,49.1362,1
LLC-load-misses,161494,16777216,1024,1,seq,49.1362,1
dTLB-load-misses,1256,16777216,1024,1,seq,49.1362,1
iTLB-load-misses,913,16777216,1024,1,seq,49.1362,1
cycles,39060015,16777216,1024,1,random,27.8008,0
instructions,42684623,16777216,1024,1,random,27.8008,0
cache-references,1042317,16777216,1024,1,random,27.8008,0
cache-misses,730937,16777216,1024,1,random,27.8008,0
LLC-loads,236414,16777216,1024,1,random,27.8008,0
LLC-load-misses,228977,16777216,1024,1,random,27.8008,0
dTLB-load-misses,120457,16777216,1024,1,random,27.8008,0
iTLB-load-misses,6997,16777216,1024,1,random,27.8008,0
cycles,17832628,16777216,1024,1,random,33.3336,1
instructions,17020667,16777216,1024,1,random,33.3336,1
cache-references,1352433,16777216,1024,1,random,33.3336,1
cache-misses,646558,16777216,1024,1,random,33.3336,1
LLC-loads,175887,16777216,1024,1,random,33.3336,1
LLC-load-misses,192112,16777216,1024,1,random,33.3336,1
dTLB-load-misses,1547,16777216,1024,1,random,33.3336,1
iTLB-load-misses,850,16777216,1024,1,random,33.3336,1
cycles,38248947,16777216,1024,2,seq,79.1354,0
instructions,41888157,16777216,1024,2,seq,79.1354,0
cache-references,1066893,16777216,1024,2,seq,79.1354,0
cache-misses,816749,16777216,1024,2,seq,79.1354,0
LLC-loads,219356,16777216,1024,2,seq,79.1354,0
LLC-load-misses,170454,16777216,1024,2,seq,79.1354,0
dTLB-load-misses,36469,16777216,1024,2,seq,79.1354,0
iTLB-load-misses,3492,16777216,1024,2,seq,79.1354,0
cycles,21153703,16777216,1024,2,seq,55.9562,1
instructions,11877229,16777216,1024,2,seq,55.9562,1
cache-references,1419872,16777216,1024,2,seq,55.9562,1
cache-misses,754518,16777216,1024,2,seq,55.9562,1
LLC-loads,34116,16777216,1024,2,seq,55.9562,1
LLC-load-misses,60818,16777216,1024,2,seq,55.9562,1
dTLB-load-misses,1665,16777216,1024,2,seq,55.9562,1
iTLB-load-misses,967,16777216,1024,2,seq,55.9562,1
cycles,49487792,16777216,1024,2,random,43.0634,0
instructions,42990564,16777216,1024,2,random,43.0634,0
cache-references,1019179,16777216,1024,2,random,43.0634,0
cache-misses,742827,16777216,1024,2,random,43.0634,0
LLC-loads,216920,16777216,1024,2,random,43.0634,0
LLC-load-misses,167832,16777216,1024,2,random,43.0634,0
dTLB-load-misses,58762,16777216,1024,2,random,43.0634,0
iTLB-load-misses,3899,16777216,1024,2,random,43.0634,0
cycles,21697945,16777216,1024,2,random,19.9978,1
instructions,15766797,16777216,1024,2,random,19.9978,1
cache-references,1484476,16777216,1024,2,random,19.9978,1
cache-misses,836216,16777216,1024,2,random,19.9978,1
LLC-loads,173129,16777216,1024,2,random,19.9978,1
LLC-load-misses,131092,16777216,1024,2,random,19.9978,1
dTLB-load-misses,3325,16777216,1024,2,random,19.9978,1
iTLB-load-misses,1615,16777216,1024,2,random,19.9978,1
cycles,46945585,16777216,1024,4,seq,36.3366,0
instructions,40554201,16777216,1024,4,seq,36.3366,0
cache-references,1466870,16777216,1024,4,seq,36.3366,0
cache-misses,937506,16777216,1024,4,seq,36.3366,0
LLC-loads,217602,16777216,1024,4,seq,36.3366,0
LLC-load-misses,137980,16777216,1024,4,seq,36.3366,0
dTLB-load-misses,11761,16777216,1024,4,seq,36.3366,0
iTLB-load-misses,4236,16777216,1024,4,seq,36.3366,0
cycles,20986596,16777216,1024,4,seq,38.3778,1
instructions,13401749,16777216,1024,4,seq,38.3778,1
cache-references,1473320,16777216,1024,4,seq,38.3778,1
cache-misses,717785,16777216,1024,4,seq,38.3778,1
LLC-loads,32456,16777216,1024,4,seq,38.3778,1
LLC-load-misses,19156,16777216,1024,4,seq,38.3778,1
dTLB-load-misses,2012,16777216,1024,4,seq,38.3778,1
iTLB-load-misses,1202,16777216,1024,4,seq,38.3778,1
cycles,49172369,16777216,1024,4,random,13.888,0
instructions,40000524,16777216,1024,4,random,13.888,0
cache-references,1586259,16777216,1024,4,random,13.888,0
cache-misses,906942,16777216,1024,4,random,13.888,0
LLC-loads,187667,16777216,1024,4,random,13.888,0
LLC-load-misses,98305,16777216,1024,4,random,13.888,0
dTLB-load-misses,8763,16777216,1024,4,random,13.888,0
iTLB-load-misses,3957,16777216,1024,4,random,13.888,0
cycles,25292675,16777216,1024,4,random,16.8285,1
instructions,19450117,16777216,1024,4,random,16.8285,1
cache-references,1629460,16777216,1024,4,random,16.8285,1
cache-misses,854510,16777216,1024,4,random,16.8285,1
LLC-loads,154089,16777216,1024,4,random,16.8285,1
LLC-load-misses,110171,16777216,1024,4,random,16.8285,1
dTLB-load-misses,2736,16777216,1024,4,random,16.8285,1
iTLB-load-misses,2055,16777216,1024,4,random,16.8285,1
cycles,33961234,16777216,4096,1,seq,89.6203,0
instructions,39077828,16777216,4096,1,seq,89.6203,0
cache-references,914832,16777216,4096,1,seq,89.6203,0
cache-misses,570745,16777216,4096,1,seq,89.6203,0
LLC-loads,118997,16777216,4096,1,seq,89.6203,0
LLC-load-misses,80158,16777216,4096,1,seq,89.6203,0
dTLB-load-misses,68577,16777216,4096,1,seq,89.6203,0
iTLB-load-misses,7192,16777216,4096,1,seq,89.6203,0
cycles,15655436,16777216,4096,1,seq,104.366,1
instructions,12853217,16777216,4096,1,seq,104.366,1
cache-references,1305545,16777216,4096,1,seq,104.366,1
cache-misses,619500,16777216,4096,1,seq,104.366,1
LLC-loads,80349,16777216,4096,1,seq,104.366,1
LLC-load-misses,62136,16777216,4096,1,seq,104.366,1
dTLB-load-misses,2480,16777216,4096,1,seq,104.366,1
iTLB-load-misses,1189,16777216,4096,1,seq,104.366,1
cycles,37480467,16777216,4096,1,random,92.6567,0
instructions,38314460,16777216,4096,1,random,92.6567,0
cache-references,894556,16777216,4096,1,random,92.6567,0
cache-misses,572438,16777216,4096,1,random,92.6567,0
LLC-loads,114852,16777216,4096,1,random,92.6567,0
LLC-load-misses,77513,16777216,4096,1,random,92.6567,0
dTLB-load-misses,74477,16777216,4096,1,random,92.6567,0
iTLB-load-misses,2920,16777216,4096,1,random,92.6567,0
cycles,13638914,16777216,4096,1,random,79.4641,1
instructions,14492057,16777216,4096,1,random,79.4641,1
cache-references,1168257,16777216,4096,1,random,79.4641,1
cache-misses,525016,16777216,4096,1,random,79.4641,1
LLC-loads,76465,16777216,4096,1,random,79.4641,1
LLC-load-misses,58338,16777216,4096,1,random,79.4641,1
dTLB-load-misses,1673,16777216,4096,1,random,79.4641,1
iTLB-load-misses,328,16777216,4096,1,random,79.4641,1
cycles,35690757,16777216,4096,2,seq,103.413,0
instructions,37797131,16777216,4096,2,seq,103.413,0
cache-references,1139184,16777216,4096,2,seq,103.413,0
cache-misses,656218,16777216,4096,2,seq,103.413,0
LLC-loads,108656,16777216,4096,2,seq,103.413,0
LLC-load-misses,73374,16777216,4096,2,seq,103.413,0
dTLB-load-misses,7016,16777216,4096,2,seq,103.413,0
iTLB-load-misses,5679,16777216,4096,2,seq,103.413,0
cycles,14660940,16777216,4096,2,seq,157.156,1
instructions,15494276,16777216,4096,2,seq,157.156,1
cache-references,1196339,16777216,4096,2,seq,157.156,1
cache-misses,479412,16777216,4096,2,seq,157.156,1
LLC-loads,70307,16777216,4096,2,seq,157.156,1
LLC-load-misses,47326,16777216,4096,2,seq,157.156,1
dTLB-load-misses,952,16777216,4096,2,seq,157.156,1
iTLB-load-misses,254,16777216,4096,2,seq,157.156,1
cycles,42696745,16777216,4096,2,random,61.9922,0
instructions,37735939,16777216,4096,2,random,61.9922,0
cache-references,1159582,16777216,4096,2,random,61.9922,0
cache-misses,646976,16777216,4096,2,random,61.9922,0
LLC-loads,111340,16777216,4096,2,random,61.9922,0
LLC-load-misses,35118,16777216,4096,2,random,61.9922,0
dTLB-load-misses,7887,16777216,4096,2,random,61.9922,0
iTLB-load-misses,4091,16777216,4096,2,random,61.9922,0
cycles,17945067,16777216,4096,2,random,80.8965,1
instructions,13792573,16777216,4096,2,random,80.8965,1
cache-references,1187057,16777216,4096,2,random,80.8965,1
cache-misses,648926,16777216,4096,2,random,80.8965,1
LLC-loads,48783,16777216,4096,2,random,80.8965,1
LLC-load-misses,45873,16777216,4096,2,random,80.8965,1
dTLB-load-misses,1573,16777216,4096,2,random,80.8965,1
iTLB-load-misses,824,16777216,4096,2,random,80.8965,1
cycles,33605337,16777216,4096,4,seq,88.1403,0
instructions,35895699,16777216,4096,4,seq,88.1403,0
cache-references,1035900,16777216,4096,4,seq,88.1403,0
cache-misses,637104,16777216,4096,4,seq,88.1403,0
LLC-loads,103023,16777216,4096,4,seq,88.1403,0
LLC-load-misses,39472,16777216,4096,4,seq,88.1403,0
dTLB-load-misses,7641,16777216,4096,4,seq,88.1403,0
iTLB-load-misses,8604,16777216,4096,4,seq,88.1403,0
cycles,15662756,16777216,4096,4,seq,106.707,1
instructions,13279887,16777216,4096,4,seq,106.707,1
cache-references,1250417,16777216,4096,4,seq,106.707,1
cache-misses,590778,16777216,4096,4,seq,106.707,1
LLC-loads,65018,16777216,4096,4,seq,106.707,1
LLC-load-misses,30583,16777216,4096,4,seq,106.707,1
dTLB-load-misses,2178,16777216,4096,4,seq,106.707,1
iTLB-load-misses,428,16777216,4096,4,seq,106.707,1
cycles,40345239,16777216,4096,4,random,43.2327,0
instructions,40767539,16777216,4096,4,random,43.2327,0
cache-references,926147,16777216,4096,4,random,43.2327,0
cache-misses,605461,16777216,4096,4,random,43.2327,0
LLC-loads,96110,16777216,4096,4,random,43.2327,0
LLC-load-misses,51577,16777216,4096,4,random,43.2327,0
dTLB-load-misses,18223,16777216,4096,4,random,43.2327,0
iTLB-load-misses,3878,16777216,4096,4,random,43.2327,0
cycles,16868872,16777216,4096,4,random,104.105,1
instructions,15541634,16777216,4096,4,random,104.105,1
cache-references,1494527,16777216,4096,4,random,104.105,1
cache-misses,503353,16777216,4096,4,random,104.105,1
LLC-loads,64781,16777216,4096,4,random,104.105,1
LLC-load-misses,29486,16777216,4096,4,random,104.105,1
dTLB-load-misses,2770,16777216,4096,4,random,104.105,1
iTLB-load-misses,1799,16777216,4096,4,random,104.105,1
cycles,218735774,67108864,64,1,seq,6.27305,0
instructions,172473885,67108864,64,1,seq,6.27305,0
cache-references,16004076,67108864,64,1,seq,6.27305,0
cache-misses,11276938,67108864,64,1,seq,6.27305,0
LLC-loads,6046720,67108864,64,1,seq,6.27305,0
LLC-load-misses,3935950,67108864,64,1,seq,6.27305,0
dTLB-load-misses,161857,67108864,64,1,seq,6.27305,0
iTLB-load-misses,22626,67108864,64,1,seq,6.27305,0
cycles,139518600,67108864,64,1,seq,6.31711,1
instructions,70687418,67108864,64,1,seq,6.31711,1
cache-references,17395326,67108864,64,1,seq,6.31711,1
cache-misses,11227807,67108864,64,1,seq,6.31711,1
LLC-loads,5989850,67108864,64,1,seq,6.31711,1
LLC-load-misses,3858641,67108864,64,1,seq,6.31711,1
dTLB-load-misses,1905,67108864,64,1,seq,6.31711,1
iTLB-load-misses,1923,67108864,64,1,seq,6.31711,1
cycles,585755405,67108864,64,1,random,1.88959,0
instructions,314163414,67108864,64,1,random,1.88959,0
cache-references,26541239,67108864,64,1,random,1.88959,0
cache-misses,19111501,67108864,64,1,random,1.88959,0
LLC-loads,13496851,67108864,64,1,random,1.88959,0
LLC-load-misses,9708458,67108864,64,1,random,1.88959,0
dTLB-load-misses,7722051,67108864,64,1,random,1.88959,0
iTLB-load-misses,28434,67108864,64,1,random,1.88959,0
cycles,480697997,67108864,64,1,random,2.78071,1
instructions,230721142,67108864,64,1,random,2.78071,1
cache-references,21075993,67108864,64,1,random,2.78071,1
cache-misses,17288633,67108864,64,1,random,2.78071,1
LLC-loads,9875986,67108864,64,1,random,2.78071,1
LLC-load-misses,9489962,67108864,64,1,random,2.78071,1
dTLB-load-misses,144258,67108864,64,1,random,2.78071,1
iTLB-load-misses,10454,67108864,64,1,random,2.78071,1
cycles,209300249,67108864,64,2,seq,9.91799,0
instructions,160562655,67108864,64,2,seq,9.91799,0
cache-references,12557061,67108864,64,2,seq,9.91799,0
cache-misses,9308681,67108864,64,2,seq,9.91799,0
LLC-loads,4695550,67108864,64,2,seq,9.91799,0
LLC-load-misses,3404641,67108864,64,2,seq,9.91799,0
dTLB-load-misses,119373,67108864,64,2,seq,9.91799,0
iTLB-load-misses,23525,67108864,64,2,seq,9.91799,0
cycles,141525824,67108864,64,2,seq,9.6289,1
instructions,65520942,67108864,64,2,seq,9.6289,1
cache-references,13127325,67108864,64,2,seq,9.6289,1
cache-misses,8832057,67108864,64,2,seq,9.6289,1
LLC-loads,4748422,67108864,64,2,seq,9.6289,1
LLC-load-misses,3475657,67108864,64,2,seq,9.6289,1
dTLB-load-misses,3207,67108864,64,2,seq,9.6289,1
iTLB-load-misses,1776,67108864,64,2,seq,9.6289,1
cycles,739605020,67108864,64,2,random,2.77339,0
instructions,353590753,67108864,64,2,random,2.77339,0
cache-references,23153260,67108864,64,2,random,2.77339,0
cache-misses,18332374,67108864,64,2,random,2.77339,0
LLC-loads,9279307,67108864,64,2,random,2.77339,0
LLC-load-misses,7574138,67108864,64,2,random,2.77339,0
dTLB-load-misses,5663260,67108864,64,2,random,2.77339,0
iTLB-load-misses,18896,67108864,64,2,random,2.77339,0
cycles,666015195,67108864,64,2,random,4.04031,1
instructions,256994093,67108864,64,2,random,4.04031,1
cache-references,23114157,67108864,64,2,random,4.04031,1
cache-misses,18829775,67108864,64,2,random,4.04031,1
LLC-loads,7810099,67108864,64,2,random,4.04031,1
LLC-load-misses,7532110,67108864,64,2,random,4.04031,1
dTLB-load-misses,231120,67108864,64,2,random,4.04031,1
iTLB-load-misses,9478,67108864,64,2,random,4.04031,1
cycles,236296803,67108864,64,4,seq,10.832,0
instructions,157782414,67108864,64,4,seq,10.832,0
cache-references,9849416,67108864,64,4,seq,10.832,0
cache-misses,7836352,67108864,64,4,seq,10.832,0
LLC-loads,3858483,67108864,64,4,seq,10.832,0
LLC-load-misses,3166983,67108864,64,4,seq,10.832,0
dTLB-load-misses,112437,67108864,64,4,seq,10.832,0
iTLB-load-misses,23619,67108864,64,4,seq,10.832,0
cycles,161407973,67108864,64,4,seq,10.3083,1
instructions,64652484,67108864,64,4,seq,10.3083,1
cache-references,11423104,67108864,64,4,seq,10.3083,1
cache-misses,7903324,67108864,64,4,seq,10.3083,1
LLC-loads,4301870,67108864,64,4,seq,10.3083,1
LLC-load-misses,3855690,67108864,64,4,seq,10.3083,1
dTLB-load-misses,2609,67108864,64,4,seq,10.3083,1
iTLB-load-misses,1514,67108864,64,4,seq,10.3083,1
cycles,800698166,67108864,64,4,random,3.02747,0
instructions,407724700,67108864,64,4,random,3.02747,0
cache-references,26648051,67108864,64,4,random,3.02747,0
cache-misses,21219628,67108864,64,4,random,3.02747,0
LLC-loads,7623887,67108864,64,4,random,3.02747,0
LLC-load-misses,6296965,67108864,64,4,random,3.02747,0
dTLB-load-misses,3865596,67108864,64,4,random,3.02747,0
iTLB-load-misses,40294,67108864,64,4,random,3.02747,0
cycles,749919670,67108864,64,4,random,3.68663,1
instructions,317579927,67108864,64,4,random,3.68663,1
cache-references,25054527,67108864,64,4,random,3.68663,1
cache-misses,21201192,67108864,64,4,random,3.68663,1
LLC-loads,6664919,67108864,64,4,random,3.68663,1
LLC-load-misses,6265558,67108864,64,4,random,3.68663,1
dTLB-load-misses,151391,67108864,64,4,random,3.68663,1
iTLB-load-misses,9984,67108864,64,4,random,3.68663,1
cycles,165267429,67108864,256,1,seq,14.2814,0
instructions,146454314,67108864,256,1,seq,14.2814,0
cache-references,7832385,67108864,256,1,seq,14.2814,0
cache-misses,6881026,67108864,256,1,seq,14.2814,0
LLC-loads,2329830,67108864,256,1,seq,14.2814,0
LLC-load-misses,2253958,67108864,256,1,seq,14.2814,0
dTLB-load-misses,157698,67108864,256,1,seq,14.2814,0
iTLB-load-misses,22048,67108864,256,1,seq,14.2814,0
cycles,90112833,67108864,256,1,seq,13.5837,1
instructions,48441454,67108864,256,1,seq,13.5837,1
cache-references,9173845,67108864,256,1,seq,13.5837,1
cache-misses,6790124,67108864,256,1,seq,13.5837,1
LLC-loads,2242042,67108864,256,1,seq,13.5837,1
LLC-load-misses,2159102,67108864,256,1,seq,13.5837,1
dTLB-load-misses,2805,67108864,256,1,seq,13.5837,1
iTLB-load-misses,1502,67108864,256,1,seq,13.5837,1
cycles,223791644,67108864,256,1,random,10.7833,0
instructions,184715414,67108864,256,1,random,10.7833,0
cache-references,7331947,67108864,256,1,random,10.7833,0
cache-misses,5164047,67108864,256,1,random,10.7833,0
LLC-loads,3084087,67108864,256,1,random,10.7833,0
LLC-load-misses,2279520,67108864,256,1,random,10.7833,0
dTLB-load-misses,2029688,67108864,256,1,random,10.7833,0
iTLB-load-misses,25646,67108864,256,1,random,10.7833,0
cycles,150478574,67108864,256,1,random,9.74151,1
instructions,88615997,67108864,256,1,random,9.74151,1
cache-references,7773679,67108864,256,1,random,9.74151,1
cache-misses,4929313,67108864,256,1,random,9.74151,1
LLC-loads,2394334,67108864,256,1,random,9.74151,1
LLC-load-misses,2159337,67108864,256,1,random,9.74151,1
dTLB-load-misses,9213,67108864,256,1,random,9.74151,1
iTLB-load-misses,3121,67108864,256,1,random,9.74151,1
cycles,149755073,67108864,256,2,seq,26.4169,0
instructions,148015372,67108864,256,2,seq,26.4169,0
cache-references,5700875,67108864,256,2,seq,26.4169,0
cache-misses,5275238,67108864,256,2,seq,26.4169,0
LLC-loads,1827881,67108864,256,2,seq,26.4169,0
LLC-load-misses,1753476,67108864,256,2,seq,26.4169,0
dTLB-load-misses,124160,67108864,256,2,seq,26.4169,0
iTLB-load-misses,24746,67108864,256,2,seq,26.4169,0
cycles,81467116,67108864,256,2,seq,16.2222,1
instructions,48351651,67108864,256,2,seq,16.2222,1
cache-references,6861430,67108864,256,2,seq,16.2222,1
cache-misses,4849412,67108864,256,2,seq,16.2222,1
LLC-loads,1663986,67108864,256,2,seq,16.2222,1
LLC-load-misses,1710312,67108864,256,2,seq,16.2222,1
dTLB-load-misses,1214,67108864,256,2,seq,16.2222,1
iTLB-load-misses,647,67108864,256,2,seq,16.2222,1
cycles,249910333,67108864,256,2,random,12.1248,0
instructions,188153895,67108864,256,2,random,12.1248,0
cache-references,6886794,67108864,256,2,random,12.1248,0
cache-misses,5071068,67108864,256,2,random,12.1248,0
LLC-loads,2462180,67108864,256,2,random,12.1248,0
LLC-load-misses,1829808,67108864,256,2,random,12.1248,0
dTLB-load-misses,1380658,67108864,256,2,random,12.1248,0
iTLB-load-misses,23144,67108864,256,2,random,12.1248,0
cycles,161993755,67108864,256,2,random,13.893,1
instructions,93818090,67108864,256,2,random,13.893,1
cache-references,8172392,67108864,256,2,random,13.893,1
cache-misses,5334695,67108864,256,2,random,13.893,1
LLC-loads,1890585,67108864,256,2,random,13.893,1
LLC-load-misses,1793423,67108864,256,2,random,13.893,1
dTLB-load-misses,12325,67108864,256,2,random,13.893,1
iTLB-load-misses,3648,67108864,256,2,random,13.893,1
cycles,152078842,67108864,256,4,seq,24.5783,0
instructions,142149178,67108864,256,4,seq,24.5783,0
cache-references,5488247,67108864,256,4,seq,24.5783,0
cache-misses,4659709,67108864,256,4,seq,24.5783,0
LLC-loads,1714259,67108864,256,4,seq,24.5783,0
LLC-load-misses,1418816,67108864,256,4,seq,24.5783,0
dTLB-load-misses,75707,67108864,256,4,seq,24.5783,0
iTLB-load-misses,25778,67108864,256,4,seq,24.5783,0
cycles,84952137,67108864,256,4,seq,20.1014,1
instructions,44444596,67108864,256,4,seq,20.1014,1
cache-references,7172358,67108864,256,4,seq,20.1014,1
cache-misses,4857818,67108864,256,4,seq,20.1014,1
LLC-loads,1332129,67108864,256,4,seq,20.1014,1
LLC-load-misses,1287847,67108864,256,4,seq,20.1014,1
dTLB-load-misses,2438,67108864,256,4,seq,20.1014,1
iTLB-load-misses,419,67108864,256,4,seq,20.1014,1
cycles,277819819,67108864,256,4,random,12.4617,0
instructions,205702690,67108864,256,4,random,12.4617,0
cache-references,8087314,67108864,256,4,random,12.4617,0
cache-misses,6108649,67108864,256,4,random,12.4617,0
LLC-loads,1941296,67108864,256,4,random,12.4617,0
LLC-load-misses,1473259,67108864,256,4,random,12.4617,0
dTLB-load-misses,1063041,67108864,256,4,random,12.4617,0
iTLB-load-misses,25489,67108864,256,4,random,12.4617,0
cycles,206741979,67108864,256,4,random,7.90467,1
instructions,108620284,67108864,256,4,random,7.90467,1
cache-references,9096908,67108864,256,4,random,7.90467,1
cache-misses,5948968,67108864,256,4,random,7.90467,1
LLC-loads,1684544,67108864,256,4,random,7.90467,1
LLC-load-misses,1501953,67108864,256,4,random,7.90467,1
dTLB-load-misses,13598,67108864,256,4,random,7.90467,1
iTLB-load-misses,2909,67108864,256,4,random,7.90467,1
cycles,125229614,67108864,1024,1,seq,51.2437,0
instructions,137620589,67108864,1024,1,seq,51.2437,0
cache-references,3588224,67108864,1024,1,seq,51.2437,0
cache-misses,3197709,67108864,1024,1,seq,51.2437,0
LLC-loads,730502,67108864,1024,1,seq,51.2437,0
LLC-load-misses,732013,67108864,1024,1,seq,51.2437,0
dTLB-load-misses,193427,67108864,1024,1,seq,51.2437,0
iTLB-load-misses,26814,67108864,1024,1,seq,51.2437,0
cycles,52860741,67108864,1024,1,seq,37.8572,1
instructions,44576022,67108864,1024,1,seq,37.8572,1
cache-references,5174978,67108864,1024,1,seq,37.8572,1
cache-misses,3254385,67108864,1024,1,seq,37.8572,1
LLC-loads,662150,67108864,1024,1,seq,37.8572,1
LLC-load-misses,650496,67108864,1024,1,seq,37.8572,1
dTLB-load-misses,2002,67108864,1024,1,seq,37.8572,1
iTLB-load-misses,1274,67108864,1024,1,seq,37.8572,1
cycles,140872379,67108864,1024,1,random,53.534,0
instructions,142971509,67108864,1024,1,random,53.534,0
cache-references,3899795,67108864,1024,1,random,53.534,0
cache-misses,2607049,67108864,1024,1,random,53.534,0
LLC-loads,869911,67108864,1024,1,random,53.534,0
LLC-load-misses,582327,67108864,1024,1,random,53.534,0
dTLB-load-misses,421492,67108864,1024,1,random,53.534,0
iTLB-load-misses,11845,67108864,1024,1,random,53.534,0
cycles,57387748,67108864,1024,1,random,34.5869,1
instructions,47530682,67108864,1024,1,random,34.5869,1
cache-references,4867640,67108864,1024,1,random,34.5869,1
cache-misses,2437305,67108864,1024,1,random,34.5869,1
LLC-loads,593937,67108864,1024,1,random,34.5869,1
LLC-load-misses,483427,67108864,1024,1,random,34.5869,1
dTLB-load-misses,1480,67108864,1024,1,random,34.5869,1
iTLB-load-misses,1056,67108864,1024,1,random,34.5869,1
cycles,139557821,67108864,1024,2,seq,80.3588,0
instructions,132772789,67108864,1024,2,seq,80.3588,0
cache-references,4018291,67108864,1024,2,seq,80.3588,0
cache-misses,3031101,67108864,1024,2,seq,80.3588,0
LLC-loads,562431,67108864,1024,2,seq,80.3588,0
LLC-load-misses,409513,67108864,1024,2,seq,80.3588,0
dTLB-load-misses,124792,67108864,1024,2,seq,80.3588,0
iTLB-load-misses,12505,67108864,1024,2,seq,80.3588,0
cycles,47750744,67108864,1024,2,seq,83.4147,1
instructions,38864839,67108864,1024,2,seq,83.4147,1
cache-references,4811646,67108864,1024,2,seq,83.4147,1
cache-misses,2721454,67108864,1024,2,seq,83.4147,1
LLC-loads,383509,67108864,1024,2,seq,83.4147,1
LLC-load-misses,319171,67108864,1024,2,seq,83.4147,1
dTLB-load-misses,1817,67108864,1024,2,seq,83.4147,1
iTLB-load-misses,1059,67108864,1024,2,seq,83.4147,1
cycles,144337345,67108864,1024,2,random,63.2323,0
instructions,154410344,67108864,1024,2,random,63.2323,0
cache-references,3543433,67108864,1024,2,random,63.2323,0
cache-misses,2384475,67108864,1024,2,random,63.2323,0
LLC-loads,628174,67108864,1024,2,random,63.2323,0
LLC-load-misses,563641,67108864,1024,2,random,63.2323,0
dTLB-load-misses,489337,67108864,1024,2,random,63.2323,0
iTLB-load-misses,20471,67108864,1024,2,random,63.2323,0
cycles,68686203,67108864,1024,2,random,35.2955,1
instructions,50120049,67108864,1024,2,random,35.2955,1
cache-references,4997920,67108864,1024,2,random,35.2955,1
cache-misses,2679952,67108864,1024,2,random,35.2955,1
LLC-loads,472731,67108864,1024,2,random,35.2955,1
LLC-load-misses,409928,67108864,1024,2,random,35.2955,1
dTLB-load-misses,4041,67108864,1024,2,random,35.2955,1
iTLB-load-misses,1086,67108864,1024,2,random,35.2955,1
cycles,125656204,67108864,1024,4,seq,34.972,0
instructions,147721183,67108864,1024,4,seq,34.972,0
cache-references,2731796,67108864,1024,4,seq,34.972,0
cache-misses,2382650,67108864,1024,4,seq,34.972,0
LLC-loads,573642,67108864,1024,4,seq,34.972,0
LLC-load-misses,589485,67108864,1024,4,seq,34.972,0
dTLB-load-misses,148955,67108864,1024,4,seq,34.972,0
iTLB-load-misses,21187,67108864,1024,4,seq,34.972,0
cycles,52527842,67108864,1024,4,seq,59.6952,1
instructions,49167360,67108864,1024,4,seq,59.6952,1
cache-references,4921038,67108864,1024,4,seq,59.6952,1
cache-misses,2602411,67108864,1024,4,seq,59.6952,1
LLC-loads,492681,67108864,1024,4,seq,59.6952,1
LLC-load-misses,452294,67108864,1024,4,seq,59.6952,1
dTLB-load-misses,1556,67108864,1024,4,seq,59.6952,1
iTLB-load-misses,613,67108864,1024,4,seq,59.6952,1
cycles,155560942,67108864,1024,4,random,24.1471,0
instructions,160880170,67108864,1024,4,random,24.1471,0
cache-references,4145636,67108864,1024,4,random,24.1471,0
cache-misses,2964202,67108864,1024,4,random,24.1471,0
LLC-loads,614839,67108864,1024,4,random,24.1471,0
LLC-load-misses,491624,67108864,1024,4,random,24.1471,0
dTLB-load-misses,287786,67108864,1024,4,random,24.1471,0
iTLB-load-misses,24917,67108864,1024,4,random,24.1471,0
cycles,71916882,67108864,1024,4,random,33.7865,1
instructions,58983116,67108864,1024,4,random,33.7865,1
cache-references,5692979,67108864,1024,4,random,33.7865,1
cache-misses,2701866,67108864,1024,4,random,33.7865,1
LLC-loads,405852,67108864,1024,4,random,33.7865,1
LLC-load-misses,353631,67108864,1024,4,random,33.7865,1
dTLB-load-misses,2521,67108864,1024,4,random,33.7865,1
iTLB-load-misses,871,67108864,1024,4,random,33.7865,1
cycles,127434323,67108864,4096,1,seq,136.593,0
instructions,139590749,67108864,4096,1,seq,136.593,0
cache-references,2913815,67108864,4096,1,seq,136.593,0
cache-misses,2082254,67108864,4096,1,seq,136.593,0
LLC-loads,365147,67108864,4096,1,seq,136.593,0
LLC-load-misses,229604,67108864,4096,1,seq,136.593,0
dTLB-load-misses,22849,67108864,4096,1,seq,136.593,0
iTLB-load-misses,18982,67108864,4096,1,seq,136.593,0
cycles,42604101,67108864,4096,1,seq,221.096,1
instructions,37199650,67108864,4096,1,seq,221.096,1
cache-references,3661036,67108864,4096,1,seq,221.096,1
cache-misses,1964046,67108864,4096,1,seq,221.096,1
LLC-loads,55298,67108864,4096,1,seq,221.096,1
LLC-load-misses,110113,67108864,4096,1,seq,221.096,1
